,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,longitude,latitude
415227,659702,,538841.0,0.0,0.0,0.0,0.0,0.0,North,2022/2023,BROADLANDS ROAD,ALLEN ROAD,Serious Crash,No,2023,0.0,North,0.0,0.0,1.0,Flat,0.0,,0.0,0.0,Dark,1261500.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Waikato Region,Nil,2-way,Sealed,0.0,0.0,1.0,0.0,70.0,0.0,None,1.0,0.0,,24.0,Rotorua District,Nil,0.0,0.0,0.0,1.0,0.0,0.0,Urban,0.0,0.0,0.0,Light rain,Null,176.332184855551,-38.5237433206569
415236,659711,,587821.0,0.0,0.0,0.0,2.0,0.0,East,2022/2023,WEST COAST ROAD,CHRISTCHURCH MENS PRISON,Minor Crash,Yes,2023,1.0,West,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,2494700.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canterbury Region,Nil,2-way,Sealed,0.0,0.0,0.0,0.0,100.0,0.0,None,0.0,0.0,,60.0,Christchurch City,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Heavy rain,Null,172.467332947814,-43.5145230179269
415248,659723,,520301.0,0.0,0.0,0.0,4.0,0.0,South,2022/2023,TE HORETA ROAD,FRASER ROAD,Minor Crash,No,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,628100.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,0.0,0.0,Auckland Region,Nil,1-way,Sealed,,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,76.0,Auckland,Nil,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Light rain,Null,174.852165101924,-36.8942887822866
415249,659724,,590200.0,0.0,0.0,0.0,1.0,0.0,Null,2022/2023,HANSONS LANE,ARTHUR STREET,Serious Crash,No,2023,0.0,South,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,2540200.0,0.0,0.0,1.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Canterbury Region,Nil,2-way,Sealed,,0.0,1.0,0.0,50.0,0.0,Off,0.0,0.0,30.0,60.0,Christchurch City,Stop,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,172.574619829719,-43.5380650351941
415256,659731,,501802.0,0.0,0.0,0.0,0.0,0.0,North,2022/2023,WRIGHT ROAD,MCCARDLE ROAD,Minor Crash,No,2023,0.0,North,1.0,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,67600.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Northland Region,Nil,2-way,Sealed,0.0,0.0,0.0,0.0,100.0,0.0,None,0.0,0.0,,2.0,Whangarei District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,1.0,0.0,0.0,Light rain,Null,174.042564701247,-35.6916008413071
415259,659734,,524112.0,0.0,0.0,0.0,3.0,0.0,South,2022/2023,SOUTH-WESTERN MOTORWAY,BADER OBR,Minor Crash,Yes,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,742201.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Auckland Region,Nil,1-way,Sealed,,0.0,0.0,0.0,100.0,0.0,Off,0.0,0.0,,76.0,Auckland,Nil,,,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine,Null,174.809510297879,-36.9692708727853
415260,659735,,580801.0,0.0,0.0,0.0,0.0,0.0,North,2022/2023,SH 1,KAPARU ROAD,Serious Crash,Yes,2023,0.0,South,0.0,0.0,1.0,Hill Road,0.0,,0.0,0.0,Dark,2309500.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Marlborough Region,Nil,2-way,End of seal,0.0,0.0,1.0,0.0,100.0,0.0,None,0.0,0.0,30.0,53.0,Marlborough District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,1.0,0.0,0.0,Fine,Null,174.119909735196,-41.7281056972159
415266,659741,,515002.0,0.0,0.0,0.0,2.0,0.0,East,2022/2023,GREAT NORTH ROAD,WALMER ROAD,Minor Crash,No,2023,0.0,East,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,390501.0,1.0,0.0,0.0,4.0,,,0.0,,0.0,0.0,0.0,0.0,Auckland Region,Nil,2-way,Sealed,,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,76.0,Auckland,Nil,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Light rain,Null,174.714022098512,-36.8689058610581
415270,659745,,570800.0,0.0,1.0,0.0,0.0,0.0,South,2022/2023,KENEPURU DRIVE,LOWER MAIN DRIVE,Serious Crash,No,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,2053104.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,2.0,0.0,50.0,0.0,On,0.0,0.0,,44.0,Porirua City,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,174.842765156092,-41.1426615542571
415271,659746,,524112.0,0.0,0.0,0.0,3.0,0.0,North,2022/2023,SOUTH-WESTERN MOTORWAY,MASSEY ROAD ON RAMP,Minor Crash,Yes,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,742201.0,4.0,0.0,0.0,2.0,,,1.0,,0.0,0.0,0.0,0.0,Auckland Region,Nil,1-way,Sealed,,0.0,0.0,0.0,100.0,0.0,On,0.0,0.0,,76.0,Auckland,Nil,,,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Heavy rain,Strong wind,174.811782836562,-36.9704704275842
415274,659749,,608303.0,0.0,0.0,0.0,1.0,0.0,Null,2022/2023,HAZLETT STREET,SHIELDS STREET,Minor Crash,No,2023,0.0,West,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Overcast,3023403.0,1.0,0.0,1.0,1.0,,,0.0,,0.0,0.0,0.0,0.0,Otago Region,Nil,2-way,Sealed,,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,69.0,Central Otago District,Give way,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Mist or Fog,Null,169.33110308535,-45.1926531995605
415275,659750,,595300.0,0.0,0.0,0.0,1.0,0.0,Null,2022/2023,HALSWELL ROAD,HENDERSONS ROAD,Minor Crash,Yes,2023,0.0,East,0.0,0.0,2.0,Flat,0.0,,0.0,0.0,Overcast,2630300.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Canterbury Region,Nil,2-way,Sealed,0.0,0.0,0.0,0.0,50.0,0.0,None,0.0,0.0,,60.0,Christchurch City,Stop,0.0,0.0,0.0,1.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,172.580848329831,-43.561838287592
415280,659755,,522820.0,0.0,0.0,0.0,3.0,0.0,Null,2022/2023,GLENMORE ROAD,THE BOULEVARD,Minor Crash,No,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,692202.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Auckland Region,Nil,2-way,Sealed,,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,76.0,Auckland,Stop,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,174.885767112613,-36.904852108713
415283,659758,,524112.0,0.0,0.0,0.0,1.0,0.0,North,2022/2023,SOUTH-WESTERN MOTORWAY,MASSEY OBR,Minor Crash,Yes,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Twilight,742300.0,1.0,0.0,1.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Auckland Region,Nil,1-way,Sealed,,0.0,0.0,0.0,100.0,0.0,Off,0.0,0.0,,76.0,Auckland,Nil,,,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine,Strong wind,174.815775624752,-36.9726877111031
415284,659759,,534200.0,0.0,0.0,0.0,2.0,0.0,North,2022/2023,SH 2,TRIG ROAD SOUTH,Serious Crash,Yes,2023,0.0,South,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,1083301.0,2.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Waikato Region,Nil,2-way,Sealed,,0.0,1.0,0.0,100.0,0.0,None,0.0,0.0,,12.0,Hauraki District,Nil,,,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine,Null,175.869674683071,-37.4239463797306
415285,659760,,521301.0,0.0,0.0,0.0,2.0,0.0,Null,2022/2023,GREAT SOUTH ROAD,NORRIE ROAD,Minor Crash,No,2023,0.0,North,0.0,0.0,0.0,Hill Road,0.0,,0.0,0.0,Dark,808701.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Auckland Region,Nil,2-way,Sealed,,0.0,0.0,0.0,50.0,0.0,On,0.0,0.0,,76.0,Auckland,Give way,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,174.951809451033,-37.1036338922954
415287,659762,,612730.0,0.0,0.0,0.0,1.0,0.0,North,2022/2023,CLIFDEN HIGHWAY,ALTON ROAD,Serious Crash,Yes,2023,0.0,North,0.0,0.0,1.0,Flat,0.0,,0.0,0.0,Bright sun,3192600.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southland Region,Nil,2-way,Sealed,0.0,0.0,1.0,0.0,100.0,0.0,Off,0.0,0.0,,73.0,Southland District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine,Null,167.696210888433,-46.1052932214926
415289,659764,,536614.0,0.0,0.0,0.0,1.0,0.0,Null,2022/2023,SH 2,KAURI POINT ROAD,Minor Crash,Yes,2023,0.0,South,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,1181706.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,Bay of Plenty Region,Nil,2-way,Sealed,,0.0,0.0,0.0,100.0,0.0,On,0.0,0.0,,22.0,Western Bay of Plenty District,Stop,,,0.0,0.0,0.0,0.0,Open,0.0,0.0,0.0,Fine,Null,175.91954552608,-37.5190683741271
415293,659768,,526103.0,0.0,0.0,0.0,0.0,0.0,East,2022/2023,COURT STREET,DOMAIN STREET,Serious Crash,No,2023,0.0,West,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Dark,837500.0,0.0,0.0,0.0,2.0,,,0.0,,0.0,1.0,0.0,0.0,Auckland Region,Nil,2-way,Sealed,,0.0,1.0,0.0,50.0,0.0,On,0.0,0.0,,76.0,Auckland,Nil,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,174.72998046908,-37.2510528555913
415294,659769,,593100.0,0.0,0.0,0.0,1.0,0.0,Null,2022/2023,BREEZES ROAD,HAMPSHIRE STREET,Minor Crash,No,2023,0.0,South,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,2576400.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,1.0,0.0,0.0,Canterbury Region,Nil,2-way,Sealed,,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,60.0,Christchurch City,Give way,,,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,172.698234183969,-43.5144193235479
415296,659771,,558300.0,0.0,0.0,0.0,0.0,1.0,South,2022/2023,SH 4,KAIWHAIKI ROAD,Minor Crash,Yes,2023,0.0,North,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,1685100.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manawatū-Whanganui Region,Nil,2-way,Sealed,0.0,0.0,0.0,0.0,100.0,0.0,None,0.0,0.0,,37.0,Whanganui District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Open,1.0,0.0,0.0,Fine,Null,175.115221386127,-39.8635154018308
415299,659774,,503100.0,0.0,0.0,0.0,4.0,0.0,East,2022/2023,PORT ROAD,OKARA DRIVE,Minor Crash,No,2023,0.0,West,0.0,0.0,0.0,Flat,0.0,,0.0,0.0,Bright sun,101602.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Northland Region,Nil,2-way,Sealed,0.0,0.0,0.0,0.0,50.0,0.0,Off,0.0,0.0,,2.0,Whangarei District,Nil,0.0,0.0,0.0,0.0,0.0,0.0,Urban,1.0,0.0,0.0,Fine,Null,174.330628109095,-35.7302632575799
